name,symbol,state_id,,gen_date,gen_delegates,trump_delegates,cruz,rubio,casich,rep_date,rep_contest_type,rep_delegates,,dem_date,rep_contest_type,dem_total_delegates,dem_super_delegates,dem_pledged_delegates,,dem_clinton,dem_sanders,dem_clinton_pledged,dem_clinton_super,dem_clinton)toal,dem_sanders_pledged,dem_sanders_super,dem_sanders_total,dem_other_pledged,dem_other_super,dem_other_total,"dem_sanders_pledged,","dem_clinton_pledged,",,"['name'], ['symbol']"
Maryland,MD,24,,11/08/16,10,,,,,04/26/16,primary,38,,04/26/16,primary,118,23,95,,"533,661 (63.0%)","281,705 (33.3%)",61,16,77,34,1,35,0,7,7,"34,","61,",,"['Maryland','MD']"
Massachusetts,MA,25,,11/08/16,11,,,,,03/01/16,primary,42,,03/01/16,primary,116,25,91,,"603,784 (50.1%)","586,716 (48.7%)",46,16,62,45,1,46,0,7,7,"45,","46,",,"['Massachusetts','MA']"
Michigan,MI,26,,11/08/16,16,,,,,03/08/16,primary,59,,03/08/16,primary,147,17,130,,"581,775 (48.3%)","598,943 (49.7%)",63,10,73,67,0,67,0,7,7,"67,","63,",,"['Michigan','MI']"
Minnesota,MN,27,,11/08/16,10,,,,,03/01/16,caucus,38,,03/01/16,caucus,93,16,77,,"73,510 (38.4%)","118,135 (61.6%)",31,12,43,46,3,49,0,1,1,"46,","31,",,"['Minnesota','MN']"
Mississippi,MS,28,,11/08/16,6,,,,,03/08/16,primary,40,,03/08/16,primary,41,5,36,,"182,447 (82.6%)","36,348 (16.5%)",32,3,35,4,2,6,0,0,0,"4,","32,",,"['Mississippi','MS']"
Missouri,MO,29,,11/08/16,10,,,,,03/15/16,primary,52,,03/15/16,primary,84,13,71,,"312,285 (49.6%)","310,711 (49.4%)",36,13,49,35,0,35,0,0,0,"35,","36,",,"['Missouri','MO']"
Montana,MT,30,,11/08/16,3,,,,,06/07/16,primary,27,,06/07/16,primary,27,6,21,,–,–,–,0,0,–,0,0,21,6,27,"–,","–,",,"['Montana','MT']"
Nebraska,NE,31,,11/08/16,5,,,,,05/10/16,primary,36,,03/05/16,caucus,30,5,25,,"14,340 (42.9%)","19,120 (57.1%)",10,3,13,15,0,15,0,2,2,"15,","10,",,"['Nebraska','NE']"
Nevada,NV,32,,11/08/16,6,,,,,02/23/16,caucus,30,,02/20/16,caucus,43,8,35,,"6,316 (52.6%)","5,678 (47.3%)",20[j],4,24,15[j],1,16,0,3,3,"15[j],","20[j],",,"['Nevada','NV']"
New Hampshire,NH,33,,11/08/16,4,,,,,02/09/16,primary,23,,02/09/16,primary,32,8,24,,"95,324 (38.2%)","152,181 (61.0%)",9,6,15,15,0,15,0,2,2,"15,","9,",,"['New Hampshire','NH']"
New Jersey,NJ,34,,11/08/16,14,,,,,06/07/16,primary,51,,06/07/16,primary,142,16,126,,–,–,–,9,9,–,2,2,126,5,131,"–,","–,",,"['New Jersey','NJ']"
New Mexico,NM,35,,11/08/16,5,,,,,06/07/16,primary,24,,06/07/16,primary,43,9,34,,–,–,–,6,6,–,0,0,34,3,37,"–,","–,",,"['New Mexico','NM']"
New York,NY,36,,11/08/16,29,,,,,04/19/16,primary,95,,04/19/16,primary,291,44,247,,"1,057,347 (58.0%)","766,023 (42.0%)",139,40,179,108,0,108,0,4,4,"108,","139,",,"['New York','NY']"
North Carolina,NC,37,,11/08/16,15,,,,,03/15/16,primary,72,,03/15/16,primary,121,14,107,,"622,919 (54.5%)","467,143 (40.9%)",60,8,68,47,1,48,0,5,5,"47,","60,",,"['North Carolina','NC']"
North Dakota,ND,38,,11/08/16,3,,,,,04/13/16,caucus,28,,06/07/16,caucus,23,5,18,,–,–,–,1,1,–,1,1,18,3,21,"–,","–,",,"['North Dakota','ND']"
Northern Marianas,NA,39,,11/08/16,,,,,,03/15/16,caucus,9,,03/12/16,caucus,11,5,6,,102 (54.0%),65 (34.4%),4,5,9,2,0,2,0,0,0,"2,","4,",,"['Northern Marianas','NMA']"
Ohio,OH,40,,11/08/16,18,,,,,03/15/16,primary,66,,03/15/16,primary,159,16,143,,"696,681 (56.1%)","535,395 (43.1%)",81,14,95,62,1,63,0,2,2,"62,","81,",,"['Ohio','OH']"
Oklahoma,OK,41,,11/08/16,7,,,,,03/01/16,primary,43,,03/01/16,primary,42,4,38,,"139,338 (41.5%)","174,054 (51.9%)",17,1,18,21,1,22,0,2,2,"21,","17,",,"['Oklahoma','OK']"
Oregon,OR,42,,11/08/16,7,,,,,05/17/16,primary,28,,05/17/16,primary,74,13,61,,–,–,–,6,6,–,1,1,61,6,67,"–,","–,",,"['Oregon','OR']"
Pennsylvania,PA,43,,11/08/16,20,,,,,04/26/16,primary,71,,04/26/16,primary,210,21,189,,"918,694 (55.6%)","719,960 (43.6%)",106,21,127,83,0,83,0,0,0,"83,","106,",,"['Pennsylvania','PA']"
Puerto Rico,PR,44,,11/08/16,,,,,,03/06/16,primary,23,,06/05/16,caucus,67,7,60,,–,–,–,3,3,–,0,0,60,4,64,"–,","–,",,"['Puerto Rico','PR']"
Rhode Island,RI,45,,11/08/16,4,,,,,04/26/16,primary,19,,04/26/16,primary,33,9,24,,"52,749 (43.3%)","66,993 (54.7%)",11,9,20,13,0,13,0,0,0,"13,","11,",,"['Rhode Island','RI']"
South Carolina,SC,46,,11/08/16,9,,,,,02/20/16,primary,50,,02/27/16,primary,59,6,53,,"272,379 (73.4%)","96,498 (26.0%)",39,5,44,14,0,14,0,1,1,"14,","39,",,"['South Carolina','SC']"
