contest_id,state_name,state_symbol,state_id,candidate_id,votes,pledged_delegates_count
94,Northern Marianas,NA,39,5,0,0
95,Ohio,OH,40,5,0,66
96,Oklahoma,OK,41,5,0,14
97,Oregon,OR,42,5,0,5
98,Pennsylvania,PA,43,5,0,0
99,Puerto Rico,PR,44,5,0,0
100,Rhode Island,RI,45,5,0,5
101,South Carolina,SC,46,5,0,0
102,South Dakota,SD,47,5,0,0
103,Tennessee,TN,48,5,0,0
104,Texas,TX,49,5,0,0
105,Virgin Islands,VI,52,5,0,0
106,Utah,UT,50,5,0,0
107,Vermont,VT,51,5,0,8
108,Virginia,VA,53,5,0,5
109,Washington,WA,54,5,0,0
110,West Virginia,WV,55,5,0,1
111,Wisconsin,WI,56,5,0,0
112,Wyoming,WY,57,5,0,0
57,Alabama,AL,1,7,0,1
58,Alaska,AK,2,7,0,5
59,American Samoa,AS,3,7,0,0
60,Arizona,AZ,4,7,0,0
61,Arkansas,AR,5,7,0,9
62,California,CA,6,7,0,0
63,Colorado,CO,7,7,0,0
64,Connecticut,CT,8,7,0,0
65,Delaware,DE,9,7,0,0
66,Washington DC, DC,11,7,0,10
67,Florida,FL,12,7,0,0
68,Georgia,GA,13,7,0,14
69,Guam,GU,14,7,0,0
70,Hawaii,HI,15,7,0,1
71,Idaho,ID,16,7,0,0
72,Illinois,IL,17,7,0,0
73,Indiana,IN,18,7,0,0
74,Iowa,IA,19,7,0,7
75,Kansas,KS,20,7,0,6
76,Kentucky,KY,21,7,0,7
77,Louisiana,LA,22,7,0,0
78,Maine,ME,23,7,0,0
79,Maryland,MD,24,7,0,0
80,Massachusetts,MA,25,7,0,8
81,Michigan,MI,26,7,0,0
82,Minnesota,MN,27,7,0,17
83,Mississippi,MS,28,7,0,0
84,Missouri,MO,29,7,0,0
85,Montana,MT,30,7,0,0
86,Nebraska,NE,31,7,0,0
87,Nevada,NV,32,7,0,7
88,New Hampshire,NH,33,7,0,1
89,New Jersey,NJ,34,7,0,0
90,New Mexico,NM,35,7,0,0
91,New York,NY,36,7,0,0
92,North Carolina,NC,37,7,0,6
93,North Dakota,ND,38,7,0,0
94,Northern Marianas,NA,39,7,0,0
95,Ohio,OH,40,7,0,0
96,Oklahoma,OK,41,7,0,11
97,Oregon,OR,42,7,0,0
98,Pennsylvania,PA,43,7,0,0
99,Puerto Rico,PR,44,7,0,23
100,Rhode Island,RI,45,7,0,0
101,South Carolina,SC,46,7,0,0
102,South Dakota,SD,47,7,0,0
103,Tennessee,TN,48,7,0,9
104,Texas,TX,49,7,0,3
105,Virgin Islands,VI,52,7,0,0
106,Utah,UT,50,7,0,0
107,Vermont,VT,51,7,0,0
108,Virginia,VA,53,7,0,16
109,Washington,WA,54,7,0,0
110,West Virginia,WV,55,7,0,0
111,Wisconsin,WI,56,7,0,0
112,Wyoming,WY,57,7,0,1
